client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1,1,9,1762368897906,1762368897906,0,0,0.015369751916592856,6.6,160.19912864268403
3,1,6,1762368897906,1762368897907,0,0,0.03143539376270504,0.0,189.16409678679676
4,1,5,1762368897906,1762368897908,1,0,0.0076828195503013015,0.0,57.914431922753884
2,1,7,1762368897906,1762368897909,2,0,0.06873874390108375,0.0,58.06672135684484
1,1,10,1762368897955,1762368897955,0,48,0.0064355643844143055,2.6,53.84474864730207
2,1,8,1762368897955,1762368897956,0,47,0.053366239947430706,0.0,99.71911061903805
3,1,7,1762368897955,1762368897956,1,49,0.023646670775413672,0.0,96.12879366380925
4,1,6,1762368897955,1762368897957,1,49,0.07870625856430835,0.0,102.29842253036288
1,1,11,1762368898003,1762368898003,0,0,0.02482531808703277,0.0,121.90079412582206
2,1,9,1762368898003,1762368898004,0,0,0.05703208977580368,0.0,51.72066709295764
3,1,8,1762368898003,1762368898004,1,1,0.08267158027822342,0.0,184.22042046226338
4,1,7,1762368898003,1762368898005,1,1,0.04822049978738159,0.0,138.46670612705014
1,1,12,1762368898051,1762368898052,0,0,0.06725097556262802,5.1,60.747722596116596
3,1,9,1762368898051,1762368898052,0,0,0.08406941920983951,0.0,93.7946599372545
2,1,10,1762368898051,1762368898053,1,0,0.04398725314520929,0.0,148.0475914233462
4,1,8,1762368898051,1762368898053,1,0,0.0352317773868381,0.0,61.607936844105964
1,1,13,1762368898100,1762368898100,0,0,0.0690789180052518,0.0,86.2315064837703
2,1,11,1762368898100,1762368898101,0,0,0.07993891564686158,0.0,40.22805002906075
3,1,10,1762368898100,1762368898101,1,1,0.05175234945997623,0.0,114.9442701147258
4,1,9,1762368898100,1762368898102,1,1,0.006841158834568917,0.0,121.67707807980176
1,1,14,1762368898148,1762368898149,0,0,0.01626873050451254,0.0,184.7952311189528
3,1,11,1762368898148,1762368898149,0,1,0.06864292973388127,0.0,41.42350090064738
2,1,12,1762368898148,1762368898149,1,0,0.09828180249601165,0.0,141.4152586378853
4,1,10,1762368898148,1762368898150,1,1,0.017690920109320243,0.0,136.31528090017565
1,1,15,1762368898196,1762368898196,0,0,0.03266584172284397,2.7,54.47266538023383
2,1,13,1762368898196,1762368898197,0,1,0.041349308024493485,0.0,110.9839360507401
3,1,12,1762368898196,1762368898198,1,0,0.010260434601670998,50.0,113.60521095285826
4,1,11,1762368898196,1762368898198,1,0,0.01832470675367326,0.0,157.6268269913271
1,1,16,1762368898245,1762368898245,0,1,0.06450638491068246,0.0,85.13630736353385
2,1,14,1762368898245,1762368898252,7,7,0.08708525317820573,16.7,39.66261638072056
3,1,13,1762368898245,1762368898259,13,12,0.05398486022717428,16.7,55.13515340764815
4,1,12,1762368898245,1762368898260,14,13,0.06534890234040738,0.0,86.9810614273757
1,1,17,1762368898293,1762368898294,0,0,0.05275311352254554,0.0,175.53394232793696
2,1,15,1762368898294,1762368898297,3,9,0.044186511439448906,0.0,136.08529116383633
4,1,13,1762368898294,1762368898298,4,23,0.012172151124861242,0.0,82.81085961588093
3,1,14,1762368898294,1762368898298,4,21,0.06912454836122567,0.0,120.88075121945249
1,1,18,1762368898341,1762368898342,0,0,0.05636004357924799,5.6,131.9709822652185
2,1,16,1762368898342,1762368898344,2,1,0.015097300685922,0.0,32.010179328393434
3,1,15,1762368898342,1762368898344,2,6,0.06867564477317835,0.0,178.93988217741804
4,1,14,1762368898342,1762368898345,3,8,0.046074866208046655,0.0,125.21176083924247
1,1,19,1762368898390,1762368898390,0,0,0.0607707334931107,2.8,121.75368063521209
2,1,17,1762368898390,1762368898391,0,0,0.0356288344072286,0.0,142.240159495648
3,1,16,1762368898390,1762368898391,0,0,0.003064402114370113,0.0,197.80014691881695
4,1,15,1762368898390,1762368898391,1,0,0.04078169798686337,0.0,55.038694699240935
1,1,20,1762368898438,1762368898439,0,0,0.09340616457233619,5.1,91.86654879023313
2,1,18,1762368898438,1762368898439,0,1,0.011625033857041934,0.0,48.90757247063173
3,1,17,1762368898438,1762368898439,1,1,0.025063451519252846,0.0,131.64028371814598
4,1,16,1762368898438,1762368898440,1,2,0.055229710920947896,0.0,66.56698417656949
1,1,21,1762368898486,1762368898487,0,0,0.09714596073570368,0.0,161.62825849666189
2,1,19,1762368898486,1762368898488,1,0,0.08241459871057481,0.0,75.64407217287966
3,1,18,1762368898486,1762368898489,2,0,0.035036658087111226,0.0,71.9683911606572
4,1,17,1762368898487,1762368898489,2,0,0.08621464696342461,0.0,93.21943522749865
